<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;129;8;;;;;;;;39;20065,54785
MOEX,MDMG:TQBR;60;20210211;190000;497;;;;;;496,41875;0;151,8491122;;2,230769231;69,04761905;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;110000;493,75;;;;;;496,4125;0,307542506;0;;0,572649573;36,41304348;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;120000;494,9;;;;;;496,24375;0,307542506;0;;0,495726496;33,14285714;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;130000;498,35;;;;;;496,30625;0;153,2638078;;1,068376068;51,65289256;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;140000;497,6;;;;;;496,2625;0;153,2638078;;1,077586207;51,86721992;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;150000;497;;;;;;496,24375;0;153,2638078;;1,19047619;54,34782609;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;160000;497,3;;;;;;496,40625;0;153,2638078;;1,423913043;58,74439462;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;170000;497,4;;;;;;496,6625;0;153,2638078;;1,086956522;52,08333333;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;180000;496,5;;;;;;496,6;0,308688435;0;;2,222222222;68,96551724;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210212;190000;492,35;;;;;;496,425;0,308688435;0;;0,6015625;37,56097561;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210215;110000;495,35;;;;;;496,48125;0,308688435;0;;0,53125;34,69387755;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210215;120000;493,3;;;;;;495,85;0,308688435;0;;0,441558442;30,63063063;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210215;130000;491,8;;;;;;495,125;0,308688435;0;;0,395348837;28,33333333;30;70;;19404,48;0;19404,47747
MOEX,MDMG:TQBR;60;20210215;140000;493,35;;;;;;494,66875;0,308688435;0;;0,540697674;35,09433962;30;70;;0,00;39,3320715;19404,47747
MOEX,MDMG:TQBR;60;20210215;150000;492,75;;;;;;494,1;0,308688435;0;;0,494565217;33,09090909;30;70;;0,00;39,3320715;19380,87823
MOEX,MDMG:TQBR;60;20210215;160000;492,8;;;;;;493,525;0,308688435;0;;0,554216867;35,65891473;30;70;;0,00;39,3320715;19382,84483
MOEX,MDMG:TQBR;60;20210215;170000;491,55;;;;;;492,90625;0,308688435;0;;0,851851852;46;30;70;;0,00;39,3320715;19333,67974
MOEX,MDMG:TQBR;60;20210215;180000;491,4;;;;;;492,7875;0,308688435;0;;0,288288288;22,37762238;30;70;;0,00;39,3320715;19327,77993
MOEX,MDMG:TQBR;60;20210215;190000;492,2;;;;;;492,39375;0,308688435;0;;0,685714286;40,6779661;30;70;;0,00;39,3320715;19359,24559
MOEX,MDMG:TQBR;60;20210216;110000;492,85;;;;;;492,3375;0;152,137095;;1,525;60,3960396;30;70;;0,00;39,3320715;19384,81144
MOEX,MDMG:TQBR;60;20210216;120000;493,15;;;;;;492,50625;0;152,137095;;0,9;47,36842105;30;70;;0,00;39,3320715;19396,61106
MOEX,MDMG:TQBR;60;20210216;130000;493,25;;;;;;492,49375;0;152,137095;;1,357142857;57,57575758;30;70;;0,00;39,3320715;19400,54427
MOEX,MDMG:TQBR;60;20210216;140000;492,8;;;;;;492,5;0;152,137095;;1;50;30;70;;0,00;39,3320715;19382,84483
MOEX,MDMG:TQBR;60;20210216;150000;491,55;;;;;;492,34375;0,309504821;0;;1;50;30;70;;0,00;39,3320715;19333,67974
MOEX,MDMG:TQBR;60;20210216;160000;492,55;;;;;;492,46875;0;152,4465998;;1,676470588;62,63736264;30;70;;0,00;39,3320715;19373,01182
MOEX,MDMG:TQBR;60;20210216;170000;493,55;;;;;;492,7375;0;152,4465998;;1,794117647;64,21052632;30;70;;0,00;39,3320715;19412,34389
