<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;;;;;;;;8
MOEX;60;20220117;90000;143,79;;;;;;;;
MOEX;60;20220117;100000;144,23;;;;;;;;
MOEX;60;20220117;110000;141,8;;;;;;;;
MOEX;60;20220117;120000;142,03;;;;;;;;
MOEX;60;20220117;130000;141,44;;;;;;;;
MOEX;60;20220117;140000;140,92;;;;;;;;
MOEX;60;20220117;150000;138,61;;;;;;;;
MOEX;60;20220117;160000;137,33;;;;;;;;
MOEX;60;20220117;170000;137,15;;;;;;;;
MOEX;60;20220117;180000;137,07;;;;;;;;
MOEX;60;20220117;190000;138,6;;;;;;;;
MOEX;60;20220117;200000;139,29;;;;;;;;
MOEX;60;20220117;210000;139,02;;;;;;;;
MOEX;60;20220117;220000;139,77;;;;;;;;
MOEX;60;20220117;230000;139,95;;;;;;;;
MOEX;60;20220118;0;139,32;;;;;;;;
MOEX;60;20220118;80000;137,35;;;;;;;;
MOEX;60;20220118;90000;137,91;;;;;;;;
MOEX;60;20220118;100000;138,26;;;;;;;;
MOEX;60;20220118;110000;135,98;;;;;;;;
MOEX;60;20220118;120000;135,69;;;;;;;;
MOEX;60;20220118;130000;135,35;;;;;;;;
MOEX;60;20220118;140000;135,8;;;;;;;;
MOEX;60;20220118;150000;133,89;;;;;;;;
MOEX;60;20220118;160000;132,87;;;;;;;;
MOEX;60;20220118;170000;132,81;;;;;;;;
MOEX;60;20220118;180000;130,94;;;;;;;;
MOEX;60;20220118;190000;133;;;;;;;;
MOEX;60;20220118;200000;134,43;;;;;;;;
MOEX;60;20220118;210000;132,47;;;;;;;;
MOEX;60;20220118;220000;131,78;;;;;;;;
MOEX;60;20220118;230000;133,22;;;;;;;;
MOEX;60;20220119;0;132;;;;;;;;
MOEX;60;20220119;80000;127,76;;;;;;;;
MOEX;60;20220119;90000;125,06;;;;;;;;
MOEX;60;20220119;100000;127,92;;;;;;;;
MOEX;60;20220119;110000;136,1;;;;;;;;
MOEX;60;20220119;120000;138,69;;;;;;;;
MOEX;60;20220119;130000;138,03;;;;;;;;
MOEX;60;20220119;140000;138,69;;;;;;;;
MOEX;60;20220119;150000;138,9;;;;;;;;
MOEX;60;20220119;160000;139,24;;;;;;;;
MOEX;60;20220119;170000;139,95;;;;;;;;
MOEX;60;20220119;180000;139,07;;;;;;;;
MOEX;60;20220119;190000;138,9;;;;;;;;
MOEX;60;20220119;200000;139,3;;;;;;;;
MOEX;60;20220119;210000;139,58;;;;;;;;
MOEX;60;20220119;220000;139,19;;;;;;;;
MOEX;60;20220119;230000;139,13;;;;;;;;
MOEX;60;20220120;0;138,64;;;;;;;;
MOEX;60;20220120;80000;142,53;;;;;;;;
MOEX;60;20220120;90000;141,74;;;;;;;;
MOEX;60;20220120;100000;142;;;;;;;;
MOEX;60;20220120;110000;139,74;;;;;;;;
MOEX;60;20220120;120000;140,92;;;;;;;;
MOEX;60;20220120;130000;143,68;;;;;;;;
MOEX;60;20220120;140000;143,35;;;;;;;;
MOEX;60;20220120;150000;143,85;;;;;;;;
MOEX;60;20220120;160000;142,09;;;;;;;;
MOEX;60;20220120;170000;143,72;;;;;;;;
MOEX;60;20220120;180000;146,05;;;;;;;;
MOEX;60;20220120;190000;146,77;;;;;;;;
MOEX;60;20220120;200000;145,23;;;;;;;;
MOEX;60;20220120;210000;145,62;;;;;;;;
MOEX;60;20220120;220000;145,14;;;;;;;;
MOEX;60;20220120;230000;144,52;;;;;;;;
MOEX;60;20220121;0;144;;;;;;;;
MOEX;60;20220121;80000;142,32;;;;;;;;
MOEX;60;20220121;90000;143,22;;;;;;;;
MOEX;60;20220121;100000;142,42;;;;;;;;
MOEX;60;20220121;110000;144,34;;;;;;;;
MOEX;60;20220121;120000;144,42;;;;;;;;
MOEX;60;20220121;130000;144,73;;;;;;;;
MOEX;60;20220121;140000;145;;;;;;;;
MOEX;60;20220121;150000;145,27;;;;;;;;
MOEX;60;20220121;160000;147,7;;;;;;;;
MOEX;60;20220121;170000;146,91;;;;;;;;
MOEX;60;20220121;180000;145,63;;;;;;;;
MOEX;60;20220121;190000;147;;;;;;;;
MOEX;60;20220121;200000;146,5;;;;;;;;
MOEX;60;20220121;210000;145,74;;;;;;;;
MOEX;60;20220121;220000;145,85;;;;;;;;
MOEX;60;20220121;230000;145,1;;;;;;;;
MOEX;60;20220122;0;145,98;;;;;;;;
MOEX;60;20220124;80000;146,15;;;;;;;;
MOEX;60;20220124;90000;146,35;;;;;;;;
MOEX;60;20220124;100000;146,42;;;;;;;;
MOEX;60;20220124;110000;143,43;;;;;;;;
MOEX;60;20220124;120000;143,5;;;;;;;;
MOEX;60;20220124;130000;141,64;;;;;;;;
MOEX;60;20220124;140000;137,45;;;;;;;;
MOEX;60;20220124;150000;139,55;;;;;;;;
MOEX;60;20220124;160000;139,36;;;;;;;;
MOEX;60;20220124;170000;140,19;;;;;;;;
MOEX;60;20220124;180000;140,8;;;;;;;;
MOEX;60;20220124;190000;141,5;;;;;;;;
MOEX;60;20220124;200000;140,62;;;;;;;;
MOEX;60;20220124;210000;141,34;;;;;;;;
MOEX;60;20220124;220000;142,56;;;;;;;;
MOEX;60;20220124;230000;142,41;;;;;;;;
MOEX;60;20220125;0;143,33;;;;;;;;
MOEX;60;20220125;80000;142,3;;;;;;;;
MOEX;60;20220125;90000;143,55;;;;;;;;
MOEX;60;20220125;100000;144,88;;;;;;;;
MOEX;60;20220125;110000;142,13;;;;;;;;
MOEX;60;20220125;120000;142,11;;;;;;;;
MOEX;60;20220125;130000;141,63;;;;;;;;
MOEX;60;20220125;140000;141,01;;;;;;;;
MOEX;60;20220125;150000;140,77;;;;;;;;
MOEX;60;20220125;160000;140,09;;;;;;;;
MOEX;60;20220125;170000;140,58;;;;;;;;
MOEX;60;20220125;180000;140,82;;;;;;;;
MOEX;60;20220125;190000;141,6;;;;;;;;
MOEX;60;20220125;200000;141,54;;;;;;;;
MOEX;60;20220125;210000;141,64;;;;;;;;
MOEX;60;20220125;220000;144,49;;;;;;;;
MOEX;60;20220125;230000;143,85;;;;;;;;
MOEX;60;20220126;0;142,84;;;;;;;;
MOEX;60;20220126;80000;142,44;;;;;;;;
MOEX;60;20220126;90000;142,49;;;;;;;;
MOEX;60;20220126;100000;142,26;;;;;;;;
MOEX;60;20220126;110000;140,49;;;;;;;;
MOEX;60;20220126;120000;141,23;;;;;;;;
MOEX;60;20220126;130000;142,4;;;;;;;;
MOEX;60;20220126;140000;144,01;;;;;;;;
MOEX;60;20220126;150000;144,4;;;;;;;;
MOEX;60;20220126;160000;143,29;;;;;;;;
MOEX;60;20220126;170000;145,21;;;;;;;;
