<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
AFLT;60;20201217;150000;71,24
AFLT;60;20201217;160000;71,28
AFLT;60;20201217;170000;71,2
AFLT;60;20201217;180000;70,9
AFLT;60;20201217;190000;70,6
AFLT;60;20201217;200000;71,28
AFLT;60;20201217;210000;71,12
AFLT;60;20201217;220000;71,06
AFLT;60;20201217;230000;71,16
AFLT;60;20201218;0;71,1
AFLT;60;20201218;110000;71,12
AFLT;60;20201218;120000;71,36
AFLT;60;20201218;130000;71,28
AFLT;60;20201218;140000;71,24
AFLT;60;20201218;150000;71,36
AFLT;60;20201218;160000;71,52
AFLT;60;20201218;170000;71,68
AFLT;60;20201218;180000;72,24
AFLT;60;20201218;190000;71
AFLT;60;20201218;200000;71,4
AFLT;60;20201218;210000;71,44
AFLT;60;20201218;220000;71,42
AFLT;60;20201218;230000;71,46
AFLT;60;20201219;0;71,4
AFLT;60;20201221;110000;69,1
AFLT;60;20201221;120000;68,72
AFLT;60;20201221;130000;67,36
AFLT;60;20201221;140000;67,18
AFLT;60;20201221;150000;67,9
AFLT;60;20201221;160000;68,04
AFLT;60;20201221;170000;67,78
AFLT;60;20201221;180000;68,14
AFLT;60;20201221;190000;68,16
AFLT;60;20201221;200000;69,2
AFLT;60;20201221;210000;68,66
AFLT;60;20201221;220000;68,88
AFLT;60;20201221;230000;69,04
AFLT;60;20201222;0;68,76
AFLT;60;20201222;110000;69,08
AFLT;60;20201222;120000;69,22
AFLT;60;20201222;130000;69,12
AFLT;60;20201222;140000;68,9
AFLT;60;20201222;150000;68,8
AFLT;60;20201222;160000;69,26
AFLT;60;20201222;170000;69,04
AFLT;60;20201222;180000;68,84
AFLT;60;20201222;190000;69,08
AFLT;60;20201222;200000;68,82
AFLT;60;20201222;210000;68,82
AFLT;60;20201222;220000;68,84
AFLT;60;20201222;230000;68,88
AFLT;60;20201223;0;68,74
AFLT;60;20201223;110000;68,96
AFLT;60;20201223;120000;68,72
AFLT;60;20201223;130000;69,28
AFLT;60;20201223;140000;69,06
AFLT;60;20201223;150000;68,98
AFLT;60;20201223;160000;68,96
AFLT;60;20201223;170000;69
AFLT;60;20201223;180000;69,22
AFLT;60;20201223;190000;69,52
AFLT;60;20201223;200000;69,46
AFLT;60;20201223;210000;69,44
AFLT;60;20201223;220000;69,66
AFLT;60;20201223;230000;69,4
AFLT;60;20201224;0;69,42
AFLT;60;20201224;110000;68,82
AFLT;60;20201224;120000;69,04
AFLT;60;20201224;130000;68,96
AFLT;60;20201224;140000;69,04
AFLT;60;20201224;150000;69,34
AFLT;60;20201224;160000;69,1
AFLT;60;20201224;170000;69,06
AFLT;60;20201224;180000;69,08
AFLT;60;20201224;190000;69,04
AFLT;60;20201224;200000;68,98
AFLT;60;20201224;210000;68,96
AFLT;60;20201224;220000;68,94
AFLT;60;20201224;230000;68,94
AFLT;60;20201225;0;68,98
AFLT;60;20201225;110000;68,98
AFLT;60;20201225;120000;68,96
AFLT;60;20201225;130000;69,04
AFLT;60;20201225;140000;69,06
AFLT;60;20201225;150000;69,02
AFLT;60;20201225;160000;68,96
AFLT;60;20201225;170000;69
AFLT;60;20201225;180000;68,94
AFLT;60;20201225;190000;68,96
AFLT;60;20201225;200000;68,94
AFLT;60;20201225;210000;68,98
AFLT;60;20201225;220000;68,96
AFLT;60;20201225;230000;69,06
AFLT;60;20201226;0;69,14
AFLT;60;20201228;110000;69,56
AFLT;60;20201228;120000;69,52
AFLT;60;20201228;130000;69,52
AFLT;60;20201228;140000;69,36
AFLT;60;20201228;150000;69,4
AFLT;60;20201228;160000;69,44
AFLT;60;20201228;170000;69,52
AFLT;60;20201228;180000;69,52
AFLT;60;20201228;190000;69,5
AFLT;60;20201228;200000;69,58
AFLT;60;20201228;210000;69,64
AFLT;60;20201228;220000;69,64
AFLT;60;20201228;230000;69,66
AFLT;60;20201229;0;69,62
AFLT;60;20201229;110000;70,04
AFLT;60;20201229;120000;70,12
AFLT;60;20201229;130000;70,28
AFLT;60;20201229;140000;70,76
AFLT;60;20201229;150000;71,32
AFLT;60;20201229;160000;71,04
AFLT;60;20201229;170000;70,8
AFLT;60;20201229;180000;70,5
AFLT;60;20201229;190000;70,38
AFLT;60;20201229;200000;70,5
AFLT;60;20201229;210000;70,42
AFLT;60;20201229;220000;70,64
AFLT;60;20201229;230000;70,74
AFLT;60;20201230;0;70,62
AFLT;60;20201230;110000;71,06
AFLT;60;20201230;120000;71,24
AFLT;60;20201230;130000;71,36
AFLT;60;20201230;140000;71,5
AFLT;60;20201230;150000;71,84
AFLT;60;20201230;160000;71,48
AFLT;60;20201230;170000;71,5
AFLT;60;20201230;180000;71,58
AFLT;60;20201230;190000;71,18
AFLT;60;20201230;200000;71,32
AFLT;60;20201230;210000;71,44
AFLT;60;20201230;220000;71,44
AFLT;60;20201230;230000;71,38
AFLT;60;20201231;0;71,44
AFLT;60;20210104;110000;72,46
AFLT;60;20210104;120000;72,8
AFLT;60;20210104;130000;73
AFLT;60;20210104;140000;72,86
AFLT;60;20210104;150000;72,68
AFLT;60;20210104;160000;72,7
AFLT;60;20210104;170000;72,82
AFLT;60;20210104;180000;72,64
AFLT;60;20210104;190000;72,32
AFLT;60;20210104;200000;71,96
AFLT;60;20210104;210000;71,74
AFLT;60;20210104;220000;72,08
AFLT;60;20210104;230000;72,1
AFLT;60;20210105;0;72,06
AFLT;60;20210105;110000;72,1
AFLT;60;20210105;120000;72,6
AFLT;60;20210105;130000;72,58
AFLT;60;20210105;140000;72,66
AFLT;60;20210105;150000;72,58
AFLT;60;20210105;160000;72,44
AFLT;60;20210105;170000;72,12
AFLT;60;20210105;180000;72,66
AFLT;60;20210105;190000;72,84
AFLT;60;20210105;200000;72,68
AFLT;60;20210105;210000;72,64
AFLT;60;20210105;220000;72,68
AFLT;60;20210105;230000;72,7
AFLT;60;20210106;0;72,74
AFLT;60;20210106;110000;73,2
AFLT;60;20210106;120000;72,78
AFLT;60;20210106;130000;73,2
AFLT;60;20210106;140000;73,38
AFLT;60;20210106;150000;73,14
AFLT;60;20210106;160000;73,12
AFLT;60;20210106;170000;73,12
AFLT;60;20210106;180000;73,06
AFLT;60;20210106;190000;73,3
AFLT;60;20210106;200000;73,1
AFLT;60;20210106;210000;73,06
AFLT;60;20210106;220000;73,12
AFLT;60;20210106;230000;72,94
AFLT;60;20210107;0;72,96
AFLT;60;20210108;110000;73,46
AFLT;60;20210108;120000;73,38
AFLT;60;20210108;130000;73,38
AFLT;60;20210108;140000;73,2
AFLT;60;20210108;150000;73,18
AFLT;60;20210108;160000;73,18
AFLT;60;20210108;170000;73,36
AFLT;60;20210108;180000;73,34
AFLT;60;20210108;190000;73,3
AFLT;60;20210108;200000;73,2
AFLT;60;20210108;210000;73,2
AFLT;60;20210108;220000;73,18
AFLT;60;20210108;230000;73,42
AFLT;60;20210109;0;73,58
AFLT;60;20210111;110000;73,4
AFLT;60;20210111;120000;73,92
AFLT;60;20210111;130000;74,44
AFLT;60;20210111;140000;74,08
AFLT;60;20210111;150000;74,3
AFLT;60;20210111;160000;74,2
AFLT;60;20210111;170000;73,58
AFLT;60;20210111;180000;73,56
AFLT;60;20210111;190000;73,74
AFLT;60;20210111;200000;73,78
AFLT;60;20210111;210000;73,72
AFLT;60;20210111;220000;73,86
